Unnamed: 0,target_problem,similar_problem,similarity_value,patent_number,Domain,latent_inventive_solutions
0,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"moreover , overexpression and dysregulation of eif4e leads to an increased tumor number , invasion , and metastases in mouse models13 and transgenic expression of eif4e leads to a variety of cancers .",0.18,US10280168,C,"['siRNA-mediated knockdown or inhibition of the MNK1/2 kinases', 'siRNA-mediated knockdown or inhibition of the MNK1/2 kinases which mediate in vivo eIF4E phosphorylation with small molecules', 'siRNA-mediated knockdown or inhibition of the MNK1/2 kinases which mediate in vivo eIF4E phosphorylation with small molecules prevented the increased beta-catenin activity', 'inhibitors of MNK1/2, by preventing the phosphorylation of eIF4E could provide a viable therapeutic approach in high-eIF4E dependent cancers, neurodevelopmental disorders, and psychiatric disorders. Studies have shown that overexpression of eIF4E, as well as eIF4E phosphorylation, promote cancer cell survival,', 'inhibitors of MNK1/2,', 'inhibitors of MNK1/2, by preventing the phosphorylation of eIF4E could provide a viable therapeutic approach in high-eIF4E dependent cancers, neurodevelopmental disorders, and psychiatric disorders. Studies have shown that overexpression of eIF4E, as well as eIF4E phosphorylation, promote cancer cell survival, at least in part through the elevation of the anti-apoptotic protein Mcl-1.', 'inhibitors of MNK1/2, by preventing the phosphorylation of eIF4E', 'Overexpression of eIF4E results in a specific increase in the translation', 'CGP57380, a Mnk inhibitor, inhibits the release of TNF alpha by macrophage61', 'Overexpression of eIF4E results in a specific increase in the translation of these weakly competitive mRNAs', 'Inhibition of mTOR by rapamycin also suppresses mTOR catalyzed phosphorylation of EBP1 leading to an increased level eIF4E-EBP1. Consequently, rapamycin inhibits translation initiation by decreasing the phosphorylation of eIF4E-binding proteins, thus decreasing eIF4E availability to the initiation complex.', 'Treatment with CGP57380, but not imatinib or dasatinib, inhibited eIF4E phosphorylation,', 'Treatment with CGP57380, but not imatinib or dasatinib, inhibited eIF4E phosphorylation, as well as prevents accumulation of active nuclear beta-catenin in BC GMPs.', 'eIF4E', 'in vivo treatment with CGP57380, but not dasatinib, prevented BC cells from serially transplanting NSG mice.', 'MNK kinases are promising targets for anti-inflammatory therapy. MNK1/2 were also reported to phosphorylate a number of different proteins in addition to eIF4E.', 'eIF4E. Three of these are hnRNPA1,60', 'MNK kinases are promising targets for anti-inflammatory therapy.', 'MNK and mTOR combination therapy with small molecules, antibodies and siRNA for the treatment of cancer,55']"
3,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,such a reflected sound causes a decline of a voice recognition rate .,0.3,US10283115,G,"['suppression processing using the delay added', 'preprocessing. For example,', 'preprocessing. For example, Japanese Patent 5530741 discloses a reverberation suppression device which includes a delay addition unit configured to generate a delay added signal for delaying at least one of a plurality of sound signals by a predetermined delay time, a reverberation suppression processing unit configured to perform reverberation suppression processing using the delay added signal, and a sound source', 'preprocessing. For example, Japanese', 'preprocessing. For example, Japanese Patent 5530741 discloses a reverberation suppression device which includes a delay addition unit configured to generate a delay added signal for delaying at least one of a plurality of sound signals by a predetermined delay time, a reverberation suppression processing unit configured to perform reverberation suppression processing using the delay', 'For example, Japanese Patent 5530741 discloses a reverberation suppression device which includes a delay addition unit configured to generate a delay added signal for delaying at least one of a plurality of sound signals by a predetermined delay time, a reverberation suppression processing unit configured to perform reverberation suppression processing using the delay added signal, and a sound source direction', 'For example, Japanese Patent 5530741 discloses a reverberation']"
4,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,switching between different source components of an entertainment system may be cumbersome at times .,0.18,US10284913,H,"['the', 'remote control, and this may be inconvenient for the']"
10,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"thus , this method of geofencing reaches a limited customer base .",0.21,US10292008,H,"['and, together with the Description of Embodiments, serve to explain principles discussed below.', 'the Description of Emb', 'the Description of Embodiments, serve to explain principles discussed below. The', 'accompanying drawings, which are incorporated in and form a part of this specification, illustrate various embodiments and, together with the Description of Embodiments,', 'accompanying drawings, which are incorporated in and form a part of this specification, illustrate various embodiments and, together with the Description of Embodiments, serve to explain principles discussed below. The', 'drawings, which are incorporated in and form a part of this specification, illustrate various embodiments and, together with the Description of Embodiments, serve to explain principles discussed below.', 'accompanying drawings, which are incorporated in and form a part of this specification, illustrate various embodiments', 'drawings, which are incorporated', 'accompanying drawings, which are incorporated in and form a part of this specification, illustrate various embodiments and, together with the Description of Embodiments, serve to explain principles discussed below. The drawings referred to in this brief description should not be understood as being drawn to scale unless specifically noted. 1 is a block diagram that illustrates an']"
11,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"a significant disadvantage of metallocene catalysts , however , is the requirement of large amounts of often expensive co-catalyst such as an aluminoxane to activate the catalysts .",0.31,US10294316,C,"['find a way to incorporate the metallocene and co-catalyst onto the support', 'find a way to incorporate the metallocene and co-catalyst onto the support without losing the advantages of the homogenous metallocene compound,', 'support without losing the advantages of the homogenous metallocene', 'It is important to find a way to incorporate the metallocene and co-catalyst onto the support', 'It is not possible with conventional silicas, , Grace 948 or 955, PQ ES 70 or ES 757, to load more than about 8 to 9 mmol Al/g of silica onto the support without leaching of MAO and possibly catalyst into the solvent medium. This leaching can cause fouling and fines in the reactor system and can negatively impact catalyst activity and polymer properties.', 'It is important to find a way to incorporate the metallocene and co-catalyst onto the support without losing the advantages of the homogenous metallocene compound,']"
12,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"when the coolant temperature of the engine is excessively high , knocking occurs , and ignition timing needs to be adjusted for suppression of the occurrence of knocking , thereby causing operation deterioration .",0.18,US10294852,F,"['one integrated flow control valve that controls several cooling elements', 'integrated flow control valve', 'invention, and therefore,', 'integrated flow control valve that controls several cooling elements is applied', 'invention, and therefore, it may contain information that does not', 'Thus, one integrated flow control valve', 'Thus, one integrated flow control valve that controls several cooling elements is applied', 'flow control valve that controls several cooling', 'of the invention, and therefore, it may contain information that does', 'flow control valve that controls several cooling elements is', 'cooling elements is applied to maintain a temperature of the coolant at a specific portion of the engine to be high and a temperature of the coolant at other portions to be low.', 'and therefore, it may contain information']"
13,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"such methods have proven unreliable and susceptible to errors , , as a result of transcribing information or transmitting information via voice communication means .",0.27,US10296973,G,"['Adoption of Financial Information eXchange FIX', 'Financial Information eXchange FIX as a protocol for electronically exchanging financial-transaction-related messages', 'Providers of high frequency trading HFT platforms have to provide the lowest possible latency across the network infrastructure between a client/trader who places one or more trades, and the servers that process the trades.', 'provide the lowest possible latency across the network infrastructure', 'financial transactions based on', 'provide the lowest possible latency across the network infrastructure between a client/trader who places one or more trades, and the servers that process the trades.', 'Financial Information eXchange FIX', 'ncy system and method thereof for executing financial transactions based on the FIX protocol by efficiently allocating sessions through load balancing', 'lowest possible latency across the network infrastructure', 'thereof for executing financial transactions based on the FIX', 'telephone and fax communications to exchange orders, fills and other information such as allocation information for bulk/block orders. Such methods have proven unreliable and susceptible to errors, , as a result of transcribing information or transmitting information via voice communication means.', 'ion of Financial Information eXchange', 'ion of Financial Information eXchange FIX as a protocol', 'telephone and fax communications to exchange orders, fills and other information such as allocation information for bulk/block orders. Such methods have proven unreliable and susceptible to errors, , as a result of transcribing information or transmitting information via voice communication means. Adoption of Financial Information eXchange FIX as', 'telephone and fax communications to exchange orders, fills and other information such as allocation information for bulk/block orders. Such methods have proven unreliable and susceptible to errors, , as a result of transcribing information or transmitting information via voice communication means. Adoption']"
14,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"the traditional mobile communication system designed directed to the cases of medium and low motion speeds fails to satisfy such a demand , because a high-speed motion environment will cause a fast time-varying characteristic of a wireless communication channel .",0.17,US10298341,H,"['a high-speed motion environment will cause a fast time-varying characteristic of a wireless communication channel.', 'a high-speed motion environment will cause a fast time-varying characteristic of a wireless communication channel. If a receiver performs coherent demodulation, the fast time-varying characteristic of the channel will make channel estimation and tracking extremely difficult. The traditional channel estimation method is always based on a condition that multipath time-varying channel parameters are known, without considering the complexity of channel estimation.', 'to the fast time-varying characteristic of the wireless communication channel, and making it possible to effectively control the overheads of the pilots, thus improving the channel', 'to the fast time-varying characteristic of the wireless communication channel, and making it possible to effectively control the overheads of the pilots, thus improving the channel estimation performance. With respect to the above problem existing in the prior art,', 'the traditional method', 'to the fast time-varying characteristic of', 'the traditional method fails to essentially solve the problem of inter-subcarrier interference ICI caused by the fast time-varying characteristic of the channel.', 'possible to effectively control the overheads of the pilots, thus improving the channel estimation performance. With respect to the above problem existing in the prior art,', 'a pilot-based channel estimation manner has been widely used. In a time-varying channel environment, positions of pilot symbols suffer from serious ICI, such that the channel estimation performance is abruptly worsened. It is difficult for the pilot symbol mapping scheme designed directed to the cases of medium and low motion speeds to satisfy the performance requirements of the system in the high-speed motion environment.', 'performance. With respect to the above problem existing in the prior art, a transmitting apparatus and a receiving', 'a pilot-based channel estimation manner', 'performance. With respect to the above problem existing in the prior art, a transmitting apparatus and a receiving apparatus', 'high-speed motion environment will cause a fast time-varying characteristic of a wireless communication channel. If a receiver performs coherent demodulation, the fast time-varying characteristic of the channel will make channel estimation and tracking extremely difficult. The traditional channel estimation method is always based on a condition that multipath time-varying channel parameters are known,', 'pilot-based channel estimation', 'a pilot-based channel estimation', 'according to the present invention are proposed', 'traditional method fails to essentially', 'because a high-speed motion environment will cause a fast time-varying characteristic of a wireless communication channel.']"
15,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,"as circuit densities continue to increase at all levels of packaging , there is an ever-growing need for providing continuous cooling to the electronics rack , including the electronic subsystems thereof .",0.19,US10299409,H,"['In certain implementations, multiple air-moving assemblies may be provided in association with a drawer or electronics subsystem in order that the', 'In certain implementations, multiple air-moving assemblies may be provided in association', 'In certain implementations, multiple', 'certain implementations, multiple air-moving assemblies may be provided in association with a drawer or electronics subsystem in order that the assemblies may be concurrently maintainable, such that if', 'certain implementations, multiple air-moving assemblies may be provided in association with a drawer or electronics subsystem in order that the', 'certain implementations, multiple air-moving assemblies may be provided in association', 'moving assemblies may be provided in association with a drawer or electronics subsystem in order that the', 'moving assemblies may be provided in association', 'air-moving assemblies may be provided in association with a drawer or electronics subsystem in order that the assemblies may be concurrently maintainable, such that if', 'be provided in association with a drawer or electronics subsystem in order that the assemblies may be concurrently maintainable, such that if', 'be provided in association with a drawer or electronics subsystem in order that the assemblies may be concurrently maintainable, such that if one fails, the failure does not', 'front-to-back. In certain implementations, multiple air-moving assemblies may be provided in association with a drawer or electronics subsystem in order that the assemblies may be concurrently maintainable, such that if one fails, the failure does not']"
16,strategic cleavage of such a target rna will destroy its ability to direct synthesis of an encoded protein,lane departure warning ldw systems are designed to give a warning in the case of unintentional lane departure .,0.27,US10300875,B,"['Lucas-Kanade method assumes that the flow is essentially constant in a local neighborhood of the pixel under consideration, and solves the basic optical flow equations for all the', 'The warning is given when the vehicle crosses or is about to cross the lane marker. Driver intention is determined based on use of turn signals, change in steering wheel angle, vehicle speed and brake activation.', 'camera based driver assistance systems DAS', 'The warning is given when the vehicle crosses or is about to cross the lane marker', 'constant in a local neighborhood of the pixel under consideration, and solves the basic optical flow equations for all the', 'essentially constant in a local neighborhood of the pixel under consideration, and solves the basic optical flow equations for all the pixels', 'The warning is given when the vehicle crosses or is about to cross the lane marker.']"
